300313032,3,a
300314598,1,a
300314598,2,a
300315363,2,a
300315456,1,a
300315536,1,a
300316151,1,a
300323836,1,a
300323836,2,a
300324324,2,a
300325093,1,a
300325093,2,a
300325379,1,a
300325578,1,a
300325776,2,p
300327506,5,a
300331404,1,a
300331404,3,a
300332989,1,a
300332989,2,a
300334509,3,a
300335143,2,a
300335600,1,a
300335600,2,a
300335750,2,a
300335988,1,a
300335988,2,a
300336319,1,p
300337729,1,p
300338070,1,p
300338070,2,p
300338070,3,p
300341524,1,p
300342190,1,p
300346106,4,a
300347470,1,a
300356722,1,p
300358870,1,a
300364111,2,a
300395392,2,p
300438360,4,p
300446237,1,p
300446237,2,a
300446433,1,a
300449506,3,p
300450164,2,p
300450348,1,p
300450348,2,p
300450678,1,p
300450678,2,p
300450958,1,a
300450958,2,p
300451366,1,a
300451366,2,a
300451559,1,a
300452436,1,a
300452436,2,a
300453188,1,p
300454147,3,p
300457857,1,p
300457857,3,p
300457857,4,p
300460031,2,p
300467934,3,a
300470353,1,a
300472274,1,p
300477298,1,p
300477298,2,p
300477298,3,p
300477298,4,p
300477298,5,p
300477298,6,p
300482429,2,p
300485804,3,a
300490174,1,a
300490174,3,a
300490684,1,a
300490684,2,a
300491482,4,a
300492641,1,p
300496454,1,a
300496454,2,a
300496454,3,a
300498304,3,a
300498304,4,a
300500206,2,a
300500206,4,a
300506084,1,p
300506343,1,p
300507322,3,a
300507322,4,a
300507765,1,p
300515724,1,a
300519479,1,a
300520906,1,a
300521402,1,p
300522835,3,a
300522835,4,a
300522835,6,a
300524413,1,a
300526673,1,a
300528239,5,a
300528718,1,a
300528718,2,a
300530246,1,a
300534107,2,a
300534780,2,p
300541609,1,a
300543680,2,a
300544043,1,a
300546698,4,p
300554535,1,a
300554838,1,a
300555698,2,a
300556318,1,p
300558079,2,p
300558079,3,p
300558079,4,p
300558079,5,p
300558079,6,p
300558079,7,p
300558079,8,p
300559107,2,a
300559107,3,a
300561177,2,p
300565174,3,p
300568607,4,a
300570124,1,p
300574990,1,p
300574990,4,p
300577235,2,a
300579756,1,p
300580585,1,p
300582390,1,a
300595391,1,a
300602112,2,p
300605838,1,p
300615006,2,a
300615603,1,a
300625124,1,a
300640503,1,a
300641418,1,p
300643682,4,p
300649139,4,a
300652250,1,a
300652914,1,a
300668084,4,a
300670007,1,p
300670183,1,a
300670302,2,a
300671159,1,a
300672052,1,a
300673654,1,p
300673654,2,p
300679196,1,a
300679196,2,a
300679361,1,a
300683910,1,a
300686021,1,a
300688059,1,a
300688059,4,a
300689633,1,p
300690167,3,a
300691351,1,a
300691351,2,a
300691573,1,a
300692492,1,p
300694774,1,a
300704329,1,a
300706087,1,a
300707060,6,p
300714186,1,a
300714186,2,p
300723968,2,a
300725830,2,a
300726839,2,p
300733659,2,a
300736828,2,p
300738342,3,p
300738739,2,p
300739426,1,p
300739426,2,p
300739426,3,a
300741059,1,p
300752176,1,a
300756235,1,p
300759263,1,a
300763371,1,a
300765711,1,a
300766950,1,a
300766950,3,a
300769662,1,a
300780265,1,p
300789586,2,p
300796981,1,a
300797237,1,a
300808685,1,p
300814817,1,p
300814817,2,p
300815105,1,p
300815105,2,p
300817484,1,a
300817484,2,p
300818796,1,p
300819155,1,a
300819893,1,a
300822804,2,a
300823095,1,a
300836323,3,p
300836323,4,p
300836557,2,p
300836557,3,a
300852407,1,p
300858496,1,p
300867648,1,a
300867648,2,p
300869490,1,p
300872998,1,p
300872998,2,p
300872998,4,p
300884674,1,a
300891492,1,p
300891492,2,p
300891492,3,p
300891770,2,a
300893644,2,p
300895536,1,p
300895536,3,p
300904519,1,a
300904519,3,a
300904721,1,a
300904824,1,a
300905309,1,a
300913656,1,p
300929746,2,p
300929746,3,p
300930614,2,p
300933056,2,p
300933157,1,p
300934006,5,p
300934575,1,p
300934664,1,a
300936684,1,a
300936684,2,a
300936868,2,p
300938007,1,a
300938528,1,a
300939792,2,a
300945209,1,p
300952756,1,a
300953480,1,a
300955843,1,a
300955951,1,a
300956403,1,a
300960933,1,a
300962433,4,a
300964045,1,p
300964384,2,a
300964384,3,a
300969083,1,p
300969226,1,a
300969356,2,a
300969546,1,a
300970149,1,p
300970149,2,p
300970149,3,p
300974685,2,p
300974685,3,p
300974685,4,p
300977350,5,p
300977888,4,p
300982222,2,a
300998712,1,a
301001898,1,ip
301004156,1,a
301006696,4,p
301007109,3,p
301007395,1,p
301007395,2,p
301007834,1,p
301009503,1,a
301012803,1,a
301016587,1,a
301016587,2,a
301016768,1,a
301017278,1,a
301017440,1,a
301018782,1,a
301019191,1,a
301021192,2,p
301028827,1,a
301031447,1,a
301036763,1,a
